Description: Acceleration measurements for 3 axes
Lines: 80001
TS: 442153538 ms 
Sampling frequency: 26757 Hz 
Units: m/s^2
Data:
-8.0470629 -6.0323057 0.1890330 
-8.1092758 -6.1519470 0.2919244 
-8.0398836 -6.0849481 0.2799602 
-8.0135632 -6.0323057 0.3242275 
-8.0626163 -6.0849481 0.3397808 
-8.0255270 -6.0370917 0.2799602 
-8.0542412 -5.9629140 0.2560320 
-8.1344004 -6.0586271 0.2045863 
-8.1020975 -6.1040907 0.1758725 
-8.0470629 -6.0287166 0.1292124 
-8.0159559 -6.0346985 0.1004985 
-8.0374908 -6.1256261 0.2033899 
-8.1152582 -6.1639113 0.2823531 
-8.1020975 -6.1160545 0.2093720 
-8.0997047 -6.1519470 0.1914258 
-8.0279198 -6.1040907 0.2225325 
-8.0518484 -6.1136618 0.3026921 
-8.1523466 -6.1160545 0.2799602 
-8.1439714 -6.0681982 0.2069792 
-8.0494556 -6.0693946 0.2739782 
-8.0159559 -6.0478592 0.4103691 
-8.0279198 -6.0610199 0.3924229 
-8.0339022 -6.1172509 0.2751746 
-8.2337027 -6.1806607 0.2009971 
-8.1966143 -6.0777693 0.0849452 
-8.1260262 -6.0634127 0.2333002 
-8.0542412 -6.0825553 0.3026921 
-8.0111704 -6.0670018 0.2691925 
-8.1523466 -6.0538411 0.3086741 
-8.1738825 -6.0777693 0.2727818 
-8.1236324 -6.1698933 0.2620141 
-8.1104727 -6.1758752 0.2584248 
-8.0733833 -6.1196437 0.2249253 
-8.0111704 -6.1280189 0.2428715 
-8.0015993 -6.1112690 0.2380859 
-8.0231342 -6.0610199 0.1004985 
-8.1092758 -6.1399827 0.1722832 
-8.0949192 -6.1519470 0.3026921 
-7.9369926 -6.0777693 0.2488535 
-7.9393854 -6.0610199 0.1830509 
-8.0398836 -5.9868422 0.1411765 
-8.1080799 -5.9509501 0.1758725 
-8.1080799 -6.0346985 0.1734796 
-8.1188469 -6.0502520 0.1722832 
-8.0554371 -5.9497533 0.1435694 
-7.9872422 -5.9545393 0.1651048 
-8.1020975 -6.0897336 0.2404787 
-8.1655073 -6.1064835 0.1674976 
-8.1858463 -6.2201424 0.2033899 
-8.1068830 -6.1351972 0.2584248 
-8.0973120 -6.0921264 0.2249253 
-8.0937223 -6.1615181 0.1962115 
-8.0709906 -6.0741801 0.2117648 
-8.1523466 -6.1172509 0.2404787 
-8.0817585 -6.0430737 0.2727818 
-8.0518484 -6.0454664 0.2955136 
-8.0494556 -6.1172509 0.2536392 
-8.0841513 -6.0693946 0.1806581 
-8.1499538 -6.0777693 0.2045863 
-8.0398836 -6.1878395 0.2763710 
-8.0518484 -6.1459651 0.2632105 
-8.0913296 -6.0526447 0.2488535 
-8.1619177 -6.1136618 0.3637090 
-8.1104727 -6.0717874 0.3517449 
-8.0231342 -6.0741801 0.1938186 
-8.1284189 -6.1902323 0.2201397 
-8.0949192 -6.1746788 0.1531406 
-8.1702929 -6.1806607 0.1184447 
-8.1475611 -6.1399827 0.1567299 
-8.0650091 -6.1387863 0.1986043 
-7.9812598 -6.0562339 0.2177469 
-7.9920278 -6.0693946 0.1543371 
-8.0470629 -6.2153568 0.1866402 
-8.0111704 -6.0957155 0.1136591 
-8.1020975 -6.1351972 0.2009971 
-8.0949192 -6.0538411 0.3290131 
-8.0841513 -6.0873408 0.3290131 
-8.1308117 -6.1591253 0.3158526 
-8.1344004 -6.0251274 0.2273182 
-8.1595249 -6.1256261 0.1627119 
-8.1882391 -6.1651077 0.1914258 
-8.1020975 -6.0885372 0.2201397 
-8.0207415 -6.0454664 0.2273182 
-8.0386877 -6.0873408 0.2895315 
-8.0757761 -6.0909300 0.2727818 
-8.0949192 -6.0693946 0.3373880 
-8.0997047 -6.0741801 0.3026921 
-8.1451683 -6.1435723 0.2225325 
-8.0446701 -6.0921264 0.2021935 
-7.9860454 -6.0693946 0.0646062 
-8.0422773 -6.0634127 0.0634098 
-8.2073812 -6.0454664 0.2608177 
-8.1391859 -6.0538411 0.2608177 
-8.0650091 -6.0394845 0.2321038 
-8.1020975 -6.0873408 0.3062813 
-7.9728851 -6.0825553 0.1938186 
-8.0494556 -6.1567326 0.2644069 
-8.0733833 -6.1256261 0.2428715 
-8.1379900 -6.1435723 0.2380859 
-8.0865440 -6.0885372 0.2536392 
-7.9872422 -6.0849481 0.3002992 
-8.0398836 -6.1519470 0.3684947 
-8.0470629 -6.0981083 0.2428715 
-8.0602226 -6.0741801 0.1962115 
-8.2097740 -6.1387863 0.2955136 
-8.1918287 -6.1495543 0.4091727 
-8.1332045 -6.0801625 0.3804588 
-8.1284189 -6.1220369 0.2979064 
-8.0841513 -6.1986070 0.2009971 
-8.0446701 -6.1483579 0.1818545 
-7.9848490 -6.0478592 0.1758725 
-8.0027952 -6.0215383 0.2045863 
-8.0602226 -6.0107703 0.3529413 
-8.0578299 -6.0873408 0.3661019 
-8.0075808 -6.0586271 0.2249253 
-8.0829554 -6.0323057 0.2153540 
-8.0099735 -6.0825553 0.1962115 
-7.9704924 -6.0981083 0.1746760 
-8.0027952 -6.0394845 0.1938186 
-8.0865440 -6.0777693 0.2069792 
-8.0949192 -6.1722860 0.3254239 
-8.0015993 -6.0777693 0.2476572 
-8.0781689 -6.1148582 0.2045863 
-8.0099735 -6.1005015 0.2153540 
-8.0279198 -6.0957155 0.1028914 
-8.1044903 -6.1639113 0.1076770 
-8.0446701 -6.0370917 0.1435694 
-8.1355972 -6.1220369 0.2584248 
-8.1020975 -6.1758752 0.3242275 
-8.0027952 -6.0693946 0.2297110 
-8.0542412 -6.0753765 0.1962115 
-8.0865440 -6.0801625 0.2321038 
-8.1152582 -6.0873408 0.2847459 
-8.0685978 -6.0514483 0.3002992 
-8.0626163 -6.0370917 0.1854438 
-8.0315094 -6.1507506 0.2117648 
-7.9441710 -6.0717874 0.2560320 
-8.1044903 -6.0538411 0.2225325 
-8.1415787 -6.1304116 0.3086741 
-7.9501534 -6.0610199 0.2488535 
-8.0733833 -6.1016979 0.2404787 
-8.1236324 -6.1998034 0.2560320 
-8.0231342 -6.1435723 0.1435694 
-8.0315094 -6.0442700 0.0837488 
-8.0183487 -6.1016979 0.1387837 
-7.9788671 -6.1040907 0.2895315 
-7.9322071 -6.0921264 0.1854438 
-7.9788671 -6.1639113 0.1603191 
-7.9920278 -6.0897336 0.2404787 
-8.0207415 -6.0179491 0.1244268 
-7.9764743 -6.0825553 0.0921237 
-7.9633136 -6.1459651 0.1938186 
-7.9920278 -6.1483579 0.1866402 
-8.0027952 -6.1435723 0.1746760 
-8.0805616 -6.1698933 0.2476572 
-8.0231342 -6.1722860 0.3397808 
-7.9633136 -6.1375899 0.2751746 
-8.1176510 -6.2392850 0.1100698 
-8.1714897 -6.2153568 0.2153540 
-8.0709906 -6.1172509 0.2931208 
-8.1284189 -6.1232333 0.2584248 
-8.1607218 -6.1220369 0.1710868 
-8.1020975 -6.1627145 0.1555335 
-8.1367931 -6.0801625 0.2452643 
-8.0781689 -6.0346985 0.2452643 
-8.0027952 -6.1172509 0.2093720 
-8.0841513 -6.1519470 0.2273182 
-8.1571321 -6.1148582 0.3002992 
-8.0386877 -6.0717874 0.2273182 
-7.9752779 -6.1016979 0.1962115 
-8.0685978 -6.2129641 0.2979064 
-8.0470629 -6.1495543 0.2033899 
-8.0362949 -6.1232333 0.0981057 
-8.0339022 -6.0897336 0.1830509 
-8.0865440 -5.9868422 0.2249253 
-8.1332045 -6.0777693 0.2141576 
-8.1260262 -6.1435723 0.2584248 
-8.1284189 -6.1447687 0.2297110 
-8.0626163 -6.0562339 0.1471586 
-8.0841513 -5.9940209 0.1100698 
-8.0578299 -6.1016979 0.2488535 
-8.0889368 -6.1591253 0.3996014 
-8.0997047 -6.0586271 0.2979064 
-7.9944205 -5.9928241 0.2512464 
-7.9836526 -6.0346985 0.2488535 
-8.0398836 -6.1160545 0.1495514 
-8.0781689 -6.1328044 0.1160519 
-8.1499538 -6.1016979 0.1842473 
